well,fit_error_occured,term,estimate,std.error,statistic,p.value,conf.low,conf.high,est_error_occured,mu_type
A_1_Mu_0.7_Lag_10,FALSE,Mu,0.722674010352846,0.01626900132060984,44.42030559290389,2.021228983962701e-64,0.6912648341592083,0.7564360859342575,FALSE,Mu_a
A_1_Mu_0.7_Lag_10,FALSE,Lag,10.02214810381658,0.017656572753291237,567.615711375721,2.080469102119997e-166,9.987226363258051,10.056567386884012,FALSE,other
A_1_Mu_0.7_Lag_10,FALSE,C,-0.001796828074422478,0.0020209480350470346,-0.8891015717683506,0.37624249569944845,-0.005806929499010037,0.00221177304249473,FALSE,other
A_1_Mu_0.8_Lag_2,FALSE,A,0.9986220348177427,0.005497720982693792,181.6429094821823,1.9383331548052947e-120,0.9877223142291546,1.009564673611592,FALSE,other
A_1_Mu_0.8_Lag_2,FALSE,Mu,0.7801439351659276,0.02194085152257212,35.55668449619368,6.265689490760318e-56,0.7382753658527541,0.8262164460621482,FALSE,Mu_a
A_1_Mu_0.8_Lag_2,FALSE,Lag,1.9915285331203458,0.021954107670643368,90.71325343745951,1.4556090999885e-92,1.9474877258399304,2.035132365602688,FALSE,other
A_1_Mu_0.8_Lag_2,FALSE,C,0.001659080354532629,0.005356470275427701,0.30973388616445846,0.7574562821105684,-0.00900275795015691,0.012276921518826674,FALSE,other
A_1_Mu_0.8_Lag_4,FALSE,A,0.9941670789405137,0.0036845630552006766,269.81953193534565,2.1659781875938863e-136,0.9868709126036656,1.0014721520162766,FALSE,other
A_1_Mu_0.8_Lag_4,FALSE,Mu,0.7648345718157513,0.019678245345062878,38.867010671133976,2.6678004172208663e-59,0.7278767700737985,0.8049767347433079,FALSE,Mu_a
A_1_Mu_0.8_Lag_4,FALSE,Lag,3.989634553687257,0.019507407420556226,204.51895363005127,3.223949510054756e-125,3.9516004723573817,4.027263644646266,FALSE,other
A_1_Mu_0.8_Lag_4,FALSE,C,0.004801933992085719,0.003507239444296021,1.3691491751141533,0.1742502122494303,-0.0021527125343042634,0.011747327714556579,FALSE,other
A_1_Mu_0.8_Lag_6,FALSE,A,1.000998624675608,0.0029192474931213105,342.8961151921116,4.6245640490882714e-146,0.9952021757525934,1.0067984998495076,FALSE,other
